,<PER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
124,0,0.003097183953478615,7.866418959025989e-06,-5.681302581518511e-06,-4.37023275501418e-06,0.9999092543472655
125,1,0.9999027824059115,0.009792522301940474,-0.0002536922876150382,0.009792522301940474,0.0005073845752300764
126,0,0.25727975811075743,0.00044995835272335235,0.0,0.00044995835272335235,0.06427976467476762
127,1,0.9999987307482272,0.0,0.0,0.0,0.00010598259029709365
128,0,0.13137844822105282,0.0003275453707829719,-6.550907415658856e-05,0.0003275453707829719,0.13101814831319156
129,0,0.005794359635942674,6.27230962973561e-07,-2.383477659296635e-05,-2.1953083704047892e-05,0.9998061549786343
130,1,0.9987121257838767,0.007783977598315532,-0.0013436627997092288,0.0010656635997693883,0.050086189189161245
131,0,0.13864995022633927,0.0,-0.00026049779281604393,-0.00026049779281604393,0.16281112051002733
132,1,0.9999991348308701,0.0,0.0,0.0,4.382309193351462e-05
133,0,0.007233876988900131,7.806342074352955e-06,-5.2042280495684447e-05,-3.9031710371762464e-05,0.9992117855171404
134,0,0.11819944593193535,0.0,0.0,0.0,0.033081289093740654
135,0,0.005370047961926853,3.712915257518504e-05,-2.2472908137612935e-05,-1.2702078512564286e-05,0.9995558706424982
136,1,0.9998058046693992,0.0071793390746256016,-0.004307603444775361,-0.0035896695373128008,0.01739609083466973
137,0,0.2685423678608047,0.0,-0.003533452208694842,-0.003533452208694842,0.30460794902541366
138,0,0.0016205687018195577,7.199860948476294e-06,-1.0599795285256696e-05,5.79988798627262e-06,0.9999806872883856
139,1,0.9999829679901017,0.003868227921306403,-0.002901170940979802,-0.002901170940979802,0.0005986543211545624
140,0,0.006521223277230738,0.00010102809595709813,-1.964435199165828e-05,8.278691196484445e-05,0.9997571995754494
141,1,0.9999536543203817,0.0015132054199372953,-0.005777693421578764,-0.005777693421578764,0.004402052130726677
142,0,0.18538342383072268,0.0,-0.0006268478018386599,-0.00021803401803084137,0.5450850450771029
143,1,0.999990884792932,0.002823002775470606,-4.627873402410829e-05,0.002823002775470606,0.0006016235423134077
144,0,0.03287411295915975,0.001993634356061704,-8.341566343353498e-06,0.00012512349515031727,0.9676216958291123
145,1,0.9996583473728036,0.018418864040538392,0.0,0.018418864040538392,0.0011999259961262797
146,0,0.0007920903706941559,4.7331363650686854e-07,-4.969793183321542e-06,-3.6681806829277843e-06,0.9999933855297746
147,0,0.1508221080724009,0.0004331301565156201,-0.0007115709714184972,0.0003403165515479853,0.3403165515479815
148,1,0.9999656484632302,0.0,-0.0057215819676046074,-0.0057215819676046074,0.00017879943648764398
149,0,0.24197806110832115,3.218221320763227e-05,0.0,3.218221320763227e-05,0.09654663962295032
150,1,0.9999983325662073,0.0,0.0,0.0,6.083825105348952e-05
151,1,0.9998619839518478,0.0037846253898682052,-0.014537767370604852,-0.006668149496434457,0.0016219823099435165
152,0,0.2753076809479572,0.0,0.0,0.0,0.03202741751372234
153,0,0.22370281019911073,0.0,-0.00021115421674675034,-0.00018098932864006408,0.3619786572801144
154,0,0.24190842000768006,0.0,0.0,0.0,0.06454333511410887
155,1,0.9999635481042021,0.005429120409976565,-0.003066447638968245,0.005429120409976565,0.001508089002771268
156,0,0.12278023877197905,0.0,0.0,0.0,0.09875086228309307
157,1,0.9998077744607183,0.003830890810238671,-5.4727011574838154e-05,0.003830890810238671,0.01877136497016949
158,1,0.9999727512891476,0.0,-0.007025434820459315,-0.0006334408444676431,0.0013244672202505265
159,1,0.9999625856803352,0.0009162760406356157,-0.006057602713091015,-0.00030542534687853854,0.005904890039651746
160,0,0.10098892759539901,3.916576598618883e-05,-0.003270341459847124,-0.002154117129240629,0.8028982027169594
161,1,0.9999627396518336,0.0,-0.005752309725632759,-0.005752309725632759,0.0022891844826497714
162,0,0.003526190713840298,2.4552735340813774e-05,-4.8583072057355205e-05,-4.8583072057355205e-05,0.9998709668578267
163,0,0.057729623623482246,0.000257529919509955,-7.153608875276458e-05,0.000243222701759397,0.9013547182848528
164,0,0.004163627472873978,1.1852255029948991e-05,-3.555676508984821e-05,-4.880340306450131e-06,0.9997725713498467
165,0,0.12873174349286545,0.0,0.0,0.0,0.06596553599429436
166,0,0.05424177639253294,4.270333521692e-05,-0.00019643534199783352,-0.00010248800452060649,0.9650953759024126
167,1,0.9995339401965734,0.0,-0.015336572478550782,-0.012921364214212076,0.022944478511217704
168,0,0.1264522034885764,6.484728384030284e-05,0.0,6.484728384030284e-05,0.19454185152088674
169,0,0.007022556445887935,4.6873393500291464e-05,-5.3789140082299214e-06,3.765239805761218e-05,0.9997095892439221
170,0,0.23812395749690993,0.0,-0.0015784732031045288,-0.0015784732031045288,0.09664121651660305
171,0,0.0745218011809416,0.0003916167455035418,-0.00027699721023420913,0.00026744558229510373,0.9551627939110688
172,0,0.24362065795161889,0.0004997987597417496,0.0,0.0003436116473224286,0.2498993798708746
173,0,0.1283828888949304,0.0011512685399237977,0.0,0.0011512685399237977,0.09868016056489654
174,0,0.27322808400712706,0.0010238054670056295,0.0,0.0010238054670056295,0.06398784168785178
175,1,0.9999989228757674,0.0,0.0,0.0,9.763230879919623e-05
176,0,0.056046408261055544,0.0,-0.00034849632056984173,-0.00018449805206638108,0.9771563498330825
177,0,0.0038202721654882732,1.2016583482531932e-05,-2.1529712072869768e-05,-1.7023493266920127e-05,0.9998798839423436
178,0,0.2693368072817011,0.0,-3.194222097747038e-05,-3.194222097747038e-05,0.09582666293229403
179,0,0.1361050324912191,0.0,-0.0009811581526738037,-0.0009811581526738037,0.36793430725267606
180,1,0.9999953673579883,0.0017449583591481676,0.0,0.0010067067456624044,0.0010738205287065647
181,1,0.9999987987748629,0.0,0.0,0.0,0.00025481571674010366
182,0,0.13042621534726073,0.001780650743759593,-0.0007225829105111518,0.0017548442112413293,0.6193567804381197
183,0,0.2512458225629369,6.42079791880963e-05,0.0,6.42079791880963e-05,0.0963119687821123
